siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Mean Percent Cover,Mean Canopy Gap Size m,Mean Basal Gap Size m,Mean Canopy Gap Percent,Mean Basal Gap Percent
MOJN0JOTR0YUBR-064,568303,3773417,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-065,577953,3753950,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-066,582220,3755198,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-067,578665,3763832,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-068,573074,3767140,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-069,584333,3751749,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-070,589134,3763934,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-071,576469,3762713,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-072,578183,3768333,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-073,587758,3752752,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-074,585377,3761455,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-075,577521,3756003,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-076,567384,3762305,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-077,555240,3770256,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-078,583181,3760132,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-079,576592,3756666,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-080,567530,3769241,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-081,586528,3747682,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-082,585310,3755001,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-083,577722,3762945,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-084,574047,3765833,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-085,584185,3754009,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-086,588843,3764802,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-087,575427,3761578,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-088,577112,3765992,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-089,587802,3751699,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-090,582181,3764546,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-091,577103,3754987,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-092,571223,3761798,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-093,583126,3766798,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-094,584579,3762203,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-095,573311,3768275,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-096,563013,3766827,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-097,587968,3747933,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-098,585249,3758557,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-099,578694,3764080,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-100,575617,3766691,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-101,587337,3751307,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-102,590926,3764134,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-103,573651,3762670,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-104,562704,3765289,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-105,587590,3749645,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-106,584365,3763305,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-107,575516,3758218,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-108,569779,3768356,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-109,582682,3759668,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-110,577532,3760834,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-111,571978,3768242,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-112,560497,3768165,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-113,589616,3748315,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-114,587879,3758868,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-115,575388,3765273,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-116,575596,3766620,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-117,588919,3752466,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-118,590975,3763907,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-119,573828,3761932,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-120,564863,3762984,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-121,559571,3770480,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-122,584314,3764214,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-123,573977,3759360,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-124,570273,3766843,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-125,582792,3757331,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-126,577044,3761458,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-127,575361,3768217,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-128,570645,3770715,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-129,577895,3753756,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-130,582588,3754916,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-131,578652,3762885,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-132,572811,3767948,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-133,582980,3754435,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-134,588901,3763043,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-135,574934,3762280,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-136,580676,3766012,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-137,590909,3753318,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-138,586075,3761595,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-139,576988,3756570,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-140,567043,3762711,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-141,555991,3770388,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-142,584651,3760239,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-143,575610,3756615,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-144,566870,3769287,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-145,589332,3747714,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-146,586003,3757032,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-147,577770,3763398,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-148,575199,3765702,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-149,583810,3753949,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-150,589536,3764669,CR,1308072.229,None,OverSamp,NotEval,,,,,,
